ranking,club name
292,Hapoel Be'er Sheva
1080,Hapoel Hadera
1285,Hapoel Haifa
2372,Hapoel Ironi Akko
1468,Hapoel Jerusalem
2081,Hapoel Kfar Saba
1913,Hapoel Nof HaGalil
1821,Hapoel Petah Tikva FC
2369,Hapoel Ra'anana
2357,Hapoel Ramat Gan
1664,Hapoel Rishon LeZion
775,Hapoel Tel Aviv
1397,Harare City
1576,Haras El-Hodood SC
1928,Harbin Yiteng
2164,Harbour View
2305,Hardbody
1981,Hasaacas
2252,Haskovo 2009
831,Hassania Agadir
557,Hatayspor Kulübü
2689,Hatta
1317,Havadar S.C.
2241,Haverfordwest County
1683,Hawke's Bay United
2156,Hay Al Arab
1837,Hay Al Wadi SC
1083,HB Chelghoum Laïd
2687,HB Køge
1192,Heart of Lions
616,Heart of Midlothian
1273,Heartland FC
843,Hearts of Oak
1446,Hebei F.C.
1452,Hegelmann Litauen Kaunas
830,Hekari United
88,Hellas Verona
1676,Helsingborgs IF
1318,Henan Songshan Longmen F.C.
1847,Henderson Eels
712,Heracles
518,Hércules
1950,Herentals FC
1690,Herrera FC
271,Hertha BSC
797,Hibernian
1689,Hienghène Sport
1326,HIFK
564,Highlanders
1174,Highlands Park
2109,Highway
1126,Hilal Al-Obayed
2307,Hilal El-Fasher
2671,Hindustan Aero
2352,Hiré
1566,Hispano
197,HJK Helsinki
670,HNK Gorica
1925,Hoang Anh Gia Lai
1983,Hobro
130,Hoffenheim
1641,Hønefoss
536,Honka
922,Honvéd
1209,Horoya AC
1593,Houston Dynamo
2448,Hoverla Uzhhorod
1835,How Mine
754,Hradec Králové
2417,Hrvatski Dragovoljac
2016,HŠK Posušje
675,Huachipato
916,Huddersfield Town
373,Hull City
1743,Humble Lions
213,Huracán
864,Hwange
2084,Ibanda Sport
1321,Ifeanyi Ubah United
602,IFK Göteborg
1559,IFK Mariehamn
370,IFK Norrköping
1298,IFK Värnamo
1732,Ikorodu United
2705,Ilukstes NSS
641,Ilves
976,Imbabura
760,Incheon United
2679,Indeni FC
111,Independiente
177,Independiente
1163,Independiente de La Chorrera
694,Independiente FBC (Campo Grande)
2121,Independiente FC
326,Independiente Medellín
1182,Independiente Petrolero
1590,Indios
222,Ingolstadt
2727,Institute FC
1997,Inter Allies FC
1479,Inter Miami CF
5,Inter Milan
2251,Interblock
693,Interclube de Angola
76,Internacional
1633,Internaţional Curtea de Argeş
1160,Inverness CT
677,Ionikos
849,Iraklis
768,Ironi Kiryat Schmona
1712,Ironi Ramat HaSharon
850,Irtysh Pavlodar
1490,Isidro Metapán
470,Iskra-Stal
957,Isloch
1044,Ismaily SC
1630,Issia Wazi
218,İstanbul Başakşehir
2604,Ittihad Al-Ramtha
1196,Ittihad El-Shorta
1121,Ittihad Tanger
2023,Ittihad Zemouri de Khemisset
975,Iztapa
1996,J.S. Groupe Bazano
471,Jablonec
964,Jagiellonia Białystok
1587,Jagodina
919,Jaguares Chiapas
1442,Jalapa
2468,Jangorzo
1618,Javor
2539,Jazeerat Al Feel
1764,JC Abidjan
2167,JCT FC
847,Jeanne d'Arc de Bamako
2676,Jedinstvo BP
1978,JEF United
459,Jeju United
126,Jeonbuk FC
1466,Jeonnam Dragons
2399,Jeunesse Sportive de Kinshasa
1236,Jeunesse Sportive Soualem
339,Jiangsu Suning FC
1535,Jigawa Golden Stars
2430,JL Chiangmai United FC
2155,Jocoro FC
1528,Joe Public
1448,Joenkoepings Soedra
1293,Johor Darul Ta'zim FC
2474,Johvi FC Lokomotiv
630,Joinville EC
2450,Jomo Cosmos
774,Jorge Wilstermann
1516,José Gálvez
448,JS Kabylie
2693,JS Kairouanaise
403,JS Saoura
2263,JSK Chabab Kasba Tadla
1075,JSM Béjaïa
1879,JSM Laâyoune
2686,JSM Skikda
1231,Juan Aurich
1061,Júbilo Iwata
255,Junior FC
1820,JUTH FC
1921,Juticalpa
1475,Juventud de Las Piedras
2158,Juventud Escuintleca
1432,Juventud Independiente
1767,Juventud Retalteca
19,Juventus
2594,Juventus Bucureşti
2632,Juventus Managua
2298,Jwaneng Galaxy FC
2345,Jyvaskyla JK
2094,Kabasha
757,Kabuscorp SCP
1880,Kabwe Warriors
1979,KAC Kénitra
1335,KACM Marrakech
1542,Kaduna United FC
2346,Kafue Celtic
252,Kairat Almaty
1500,Kaisar Kyzylorda
568,Kaiserslautern
580,Kaizer Chiefs
2556,Kaliakra
776,Kalmar FF
2101,Kaloum Star
2392,Kalteng Putra
2422,Kalulushi Modern Stars
2249,Kalyani Bharat FC
703,Kano Pillars
1985,Kansanshi Dynamos
2362,Kapfenberger SV
2675,Kaposvári Rákóczi
2501,Karabükspor
1741,Karela United FC
1622,Karlovac
2649,Karmiotissa Pano Polemidion
1327,Karpaty Lviv
2513,Karvan
219,Kashima Antlers
658,Kashiwa Reysol
412,Kasımpaşa
1068,Katsina United
744,Kavala
69,Kawasaki Frontale
2571,Kaya F.C.-Iloilo
1246,Kayseri Erciyesspor
817,Kayserispor
2256,Kazakhmys
1886,KCCA FC
1127,Kecskeméti TE
2328,Kenkre FC
2246,Kerala Blasters FC
1020,Keşlə Futbol Klubu
427,KF Shkendija
2128,KF Tirana
2334,Kfarsoum
1064,Khazar Lankaran FK
1098,Khimki
1918,Khon Kaen United FC
2404,Khonkaen
2329,Khorfakkan Club
1383,Khroub
1953,Kiglon
1217,Kilmarnock
1960,King Faisal
613,Kisvárda Master Good
1487,Kitchee
2603,Kitwe United
2720,Kiwi
1467,Kladno
2690,Klaipedos Granitas
136,København
1980,Kokand 1912
1589,Koloale
2007,Kongsvinger
2506,Konkola Blades
2489,Konkola Mine Police
320,Konyaspor
544,Koper
1308,Korona Kielce
1049,Kortrijk
1184,Košice
2566,Kozara Gradiška
1797,KPV
256,KRC Genk
1016,Kristiansund BK
2170,Krumkachy Minsk
2454,Kruoja Pakruojis
542,Krylya Sovetov Samara
940,Kryvbas
366,KS Raków Częstochowa
1010,KS Warta Poznań
619,Kuban' Krasnodar
2220,Kukesi
205,KuPS
2153,Kuwait SC
478,KV Mechelen
1019,KV Oostende
827,Kwara United
1772,Kyoto Sanga FC
1798,Kyzylzhar Petropavlovsk
1540,L.A. Firpo
340,La Equidad
984,LA Galaxy
2770,La Horquetta Rangers FC
2719,La Paz
2166,La U Universitarios
2067,Lae City Dwellers
2248,Lajong SC
1455,Lamia
897,Lamontville Golden Arrows
173,Lanús
1413,Larisa Ael
1144,Larne FC
720,Las Palmas
353,LASK Linz
1661,Lausanne
1788,Lausanne Sport
1403,Lautoka
28,Lazio
241,LD Alajuelense
153,LDU de Quito
1352,LDU Portoviejo
621,Le Mans
357,Lecce
286,Lech Poznań
560,Lechia Gdańsk
128,Leeds United
107,Leganes
429,Legia Warszawa
1274,Legon Cities FC
46,Leicester City
1256,Leixões
1935,Lengthens
90,Lens
234,León
958,León de Huánuco
1565,Leones FC
820,Leones Negros U. de G.
1169,Léopards de Dolisié
1818,Levadiakos
108,Levante
264,Levski Sofia
2395,Liaoning Hongyun
114,Libertad
1472,Liberty Professionals
1594,Lierse
2718,Lietava Jonava
938,Liga de Loja
1995,Liga Muçulmana
2045,Likasi
75,Lille
594,Lillestrøm
2477,Lime Hotspurs
2085,Limerick
1656,Limón
2132,Lincoln Red Imps FC
540,Linfield
1691,Lion Blessé
1859,Lion City Sailors FC
156,Litex Lovech
321,Liverpool
1,Liverpool FC
837,Livingston FC
1071,Livorno
1961,Llandudno FC
1013,Llanelli
2599,Llaneros de Guanare
2102,LLB Académic
826,Lobi Stars
767,Lobos B.U.A.P.
1495,Lobos UPNFM
2551,Łódzki KS
1539,Lokeren
190,Lokomotiv Astana
1813,Lokomotiv Gorna Oryahovitsa
1644,Lokomotiv Mezdra
199,Lokomotiv Moskva
441,Lokomotiv Plovdiv
643,Lokomotiv Tashkent
701,Lokomotiva
2295,Lokomotivi Tbilisi
2749,Longford Town
2569,Lootus
456,Lorient
436,Los Angeles FC
2373,Lovćen
1543,LPTA Tozeur
1408,Lučko
556,Lugano
2397,Lumwana Radiants
2669,Lupe ole Soaga
2366,Lusaka Dynamos
656,Luzern
2308,Lyn
2237,Lyngby
45,Lyon
2266,Lys Sassandra
2631,Lyubimets
1114,Ma Pau
2645,Maardu Linnameeskond
625,Macará
1945,Macarthur FC
2382,Maccabi Ahi Nazareth
152,Maccabi Haifa FC
622,Maccabi Netanya
1414,Maccabi Petah Tikva
115,Maccabi Tel Aviv
2515,Machine Sazi FC
2743,Mačva Šabac
2510,Madang
1332,Madura United
748,Maghreb Fès
609,Mahindra United
84,Mainz
1696,Makedonija Gjorče Petrov
458,Málaga
2326,Malampa Revivors FC
1200,Malavan
2340,Malekesa
224,Mallorca
188,Malmö FF
122,Mamelodi Sundowns FC
1588,Managua FC
2,Manchester City
41,Manchester United
1803,Manica Diamonds
1261,Maniema Union
1267,Manisaspor
2293,Mansheyat Bani Hasan
1057,Manta
2413,Manu Ura
867,Marathón
2095,Marek Dupnitsa
206,Maribor
2221,Marist
1434,Maritzburg United
51,Marseille
1459,Marumo Gallants FC
2193,Mash'al Muborak
979,Masvingo United
2378,Matiti Mabe
1698,Matsumoto Yamaga
1348,Mattersburg
2285,Maverly Hughenden FC
2651,Mayagüez
566,Mazatlán FC
2223,Mbabane Swallows
642,MC Alger
983,MC El Eulma
690,MC Oran
1017,MCO Oujda
879,Medeama SC
1888,Medimurje
1451,Meizhou Hakka F.C.
611,Melbourne City FC
1203,Melbourne Victory
937,Melipilla
2731,Merani Martvili
2364,Merikh Kosti
1425,Merreikh El-Fasher
2062,Merreikh Nyala
1796,Mersin İdmanyurdu
992,Mes Kerman
868,Mes Rafsanjan
2300,Meshki Pooshan Football Club
1191,Metalist 1925 Kharkiv
501,Metalist Kharkiv
2143,Metalleghe BSI
1789,Metallurg Bekobod
509,Metalurh Donetsk
2765,Metalurh Zaporizhya
1250,Metropolitanos FC
558,Metz
1024,Mezőkövesd-Zsóry
1776,MFK Karviná
1520,MFK Tatran Liptovský Mikuláš
1306,MFM FC
2110,Mgaear Al Sarhan
1640,Mictlán
468,Middlesbrough
1721,Miedź Legnica
2091,Mighty Jets
158,Millonarios
1229,Mineros de Guayana
842,Minnesota United
1412,Minyor Pernik
2118,Miramar Misiones
1574,Misr El Makasa
2161,Mitra Kukar
729,Mjällby AIF
2216,Mjøndalen IF
475,Mladá Boleslav
2030,Mladi Radnik
2706,Mladost CD
2458,Mladost Velika
1502,MO Béjaia
1102,Moghreb Tétouan
2041,Mogren
1709,Mohammedan SC
579,Mohun Bagan
2575,MOIK
315,MOL Fehérvár FC
142,Molde FK
1711,Molinos El Pirata FC
2157,Molunge
2630,Molynes United FC
35,Monaco
1219,Monagas SC
1296,Monaghan United
318,Monarcas Morelia
952,Monomatapa United
1340,Mons
2245,Mont Bleu
2552,Mont-Dore
2479,Montana
2365,Montedio Yamagata
2509,Montego Bay United
145,Monterrey
514,Montevideo Wanderers
363,Montpellier
2260,Moossou FC
1072,Mordovia Saransk
680,Moreirense
2648,Mornar
2410,Morobe Wawens
1338,Moroka Swallows
583,Moskva
344,Motagua
532,Motema Pembe
1059,Motherwell
682,Motor Action
1319,Mount Pleasant FC
887,Mouscron-Péruwelz
394,MP Antalyaspor
2207,MSP Batna
1242,MTK Budapest
2618,Muaither SC
460,Muangthong United
1897,Mufulira Wanderers
1791,Muğan
2230,Mumbai City FC
2028,Mumbai FC
1905,Municipal Limeño
535,Mura 05
700,Mushuc Runa SC
2239,Muungano
1143,MyPa
1498,MZKS Arka Gdynia
2049,NA Hussein Dey
1470,NAC Breda
171,Nacional
1845,Nacional
636,Nacional Asunción
2402,Nacional de Benguela
792,Nacional Potosí
2600,Nadi
1784,Naft Masjed Soleyman FC
941,Naft Tehran
2018,Nafta
2545,Naftan Novopolotsk
417,Nagoya Grampus Eight
1964,Najran SC
2496,Nakambala Leopards
2289,Nakhon Pathom
1549,Nakhon Ratchasima FC
1864,Nalkutan FC
479,Nancy
138,Nantes
1262,Napredak
2684,Napredok
2368,NAPSA Stars FC
1137,Narva Trans
377,Nasaf Qarshi
815,Nasarawa United
549,Nashville SC
1052,Nassaji Mazandaran
2698,National Assembly
994,National Bank
1301,Náutico
1096,Naval 1º de Maio
1485,Navbahor Namangan
1138,NC Magra
1877,Nchanga Rangers
2351,ND Triglav
2375,Ndjadi
2271,Ndoki ya Ndombe
1070,Nea Salamis
290,Neath Athletic
761,NEC Nijmegen
438,Necaxa
1522,Necaxa
2384,Neftchi
360,Neftçi
1998,Neftochimic Burgas 1962
819,Nejmeh SC
811,Neman Grodno
2119,Nembe City FC
1377,Neuchâtel Xamax
2733,Nevėžis Kėdainiai
1409,New Edubiase FC
467,New England Revolution
1043,New Soger
1606,New Star de Douala
381,New York City FC
624,New York Red Bulls
43,Newcastle United
1853,Newcastle United Jets
323,Newell's Old Boys
2691,Newry City AFC
899,Newtown
1895,Ngezi Platinum FC
100,Nice
1938,NIGELEC
1155,Niger Tornadoes
2741,Niki Volou
450,Nîmes Olympique
2711,Nistru
2426,Nitra
1782,Njala Quan
1966,Njube Sundowns
724,NK Bravo
688,NK Celje
2196,NK Istra 1961
1603,NK Krka
2280,NK Krsko
2447,NK Rudeš
1235,NK Tabor Sežana
2327,NK Varaždin
1883,NK Zadar
2254,NK Zagreb
2533,NK Zvijezda Gradacac
1586,Nkana FC
2380,Nkoy
2035,Nkoyi Bilombe
2077,Nkwazi
2682,Noah Jūrmala
1851,Nogoom FC
143,Nomme JK Kalju
1692,Nong Bua Pitchaya FC
2111,Nord Sport
870,Nordsjælland
2358,North Eastern Re Organising Cultural Association
2531,North Queensland Fury
2264,Northeast United FC
755,Norwich City
422,Novara
1410,Novi Pazar
629,NŠ Mura
409,Ñublense
453,Nueva Chicago
777,Nueve de Octubre
704,Nürnberg
1885,Nyíregyháza Spartacus
689,O'Higgins
2744,Obod
1598,Obolon'
1700,Ocean Boys FC
2009,Ocean Pacifique
1157,OCK Khouribga
1056,Odds Ballklubb
969,Odense Boldklub
1829,Odra Wodzisław
1816,Oestersunds FK
2471,Office Niger Sports
999,OFI Crete
1761,OFK Beograd
1438,OFK Titograd
1750,OFTA FC
2456,Ohod Saudi FC
1372,Oita Trinita
2033,Okzhetpes Kokshetau
494,Oleksandriya
1159,Olhanense
248,Olimpia
262,Olimpia
316,Olimpija Ljubljana
1386,Olimpik Donetsk
2356,Olimpik Sarajevo
998,Olimpo
44,Olympiakos
873,Olympiakos Nicosia
420,Olympiakos Volos
2103,Olympic Club
1161,Olympic Club de Safi
1512,Olympic El Qanah FC
1924,Olympic Niamey
1329,Olympique Béja
574,Olympique de Bamako
1547,Olympique de Medea
2198,Olympique de Missira
1929,Olympique du Kef
1116,Omiya Ardija
247,Omonia Nicosia
654,Once Caldas
1716,Once Municipal
2089,ONGC FC
1599,Onze Créateurs
2507,Opava
600,Ordabasy Shymkent
1201,Orduspor
1631,Örebro
746,Orense SC
1694,Örgryte
946,Oriente Petrolero
2520,Orión
993,Orlando City
463,Orlando Pirates
131,Osasuna
191,Osijek
810,Osmanlıspor FK
1597,Öster
1130,Oţelul Galaţi
1702,Othellos Athienou FC
933,Oud-Heverlee Leuven
2275,Ouragahio
2105,PA Sambizanga
1449,Pacífico
528,Paços de Ferreira
1315,Padideh F.C.
2273,PAEEK
2721,Paernu Linnameeskond
445,Pafos FC
372,Paide Linnameeskond
276,Pakhtakor Tashkent
710,Paksi SE
672,Palermo
620,Palestino
15,Palmeiras
187,Panathinaikos
828,Pandurii Târgu Jiu
1376,Panetolikos
1195,Panionios
1688,Panserraikos
1525,Panthère
2057,Panthrakikos Komotini
127,PAOK FC
2637,Pápa
2181,Papua New Guinea U20
766,Paradou AC
790,Paraná Clube
12,Paris Saint-Germain
742,Parma Calcio 1913
2759,Pärnu JK Vaprus
1927,Parrillas One
1211,Pars Jonoubi Jam
1749,Partick Thistle
59,Partizan Beograd
2269,Partizan Minsk
2073,Partizani Tirana
803,PAS Giannina
1596,Pas Hamedan
2415,Pasaquina F.C.
935,Patriotas Boyacá
504,Patronato de Parana
1478,Pattaya United
1002,Paykan F.C.
841,PEC Zwolle
1224,Pécsi MFC
2668,Pelister
2160,Pelita Bandung Raya
1476,Penafiel
196,Peñarol
1810,Penybont FC
1265,Pérez Zeledón
1150,Persebaya Surabaya
2480,Persela Lamongan
2061,Persema Malang
121,Persepolis
2317,Perseru Badak Lampung
753,Persib Bandung
1890,Persiba Balikpapan
1405,Persidafon
894,Persija Jakarta
2208,Persijap Jepara
2200,Persik Kediri
2093,Persikabo 1973 (INA)
788,Persipura Jayapura
2661,Persiraja Aceh
2116,Persiram Raja Ampat
2183,Persita Tangerang
2433,Persitara Jakarta
1799,Persiwa Wamena
1578,Perth Glory
1454,Pescara
2189,Petro Souths
1291,Petrojet
1167,Petrolul Ploieşti
1999,Petrovac
1974,Petržalka
184,PFC CSKA Sofia
678,PFC Lokomotiv Sofia 1929
85,PFC Ludogorets 1945 Razgrad
229,PFC Sochi
1185,Pharco FC
431,Philadelphia Union
484,Piast Gliwice
1976,Pirae
1427,Pirin Blagoevgrad
2424,Pirin Gotse Delchev
2387,PK-35 Vantaa
2168,Platanias
506,Plateau United
2120,Platense
1253,Platinum Stars
575,Plaza Colonia
2707,Pobeda
1876,Podbeskidzie Bielsko-Biala
1854,Podbrezová
391,Pogoń Szczecin
352,Pohang Steelers
2222,Point Fortin FC
2722,Police
2488,Police FC
1531,Police Tero FC
1988,Police United FC
1759,Politehnica Iaşi
1506,Polokwane City
1666,Polonia Bytom
716,Polonia Warszawa
439,Ponte Preta
2481,Porcelana FC
723,Port F.C.
953,Port Talbot
2723,Portadown FC
2446,Porthmadog
645,Portimonense
644,Portland Timbers
1431,Portmore United FC
531,Portsmouth
183,Portuguesa
1892,Portuguesa FC
1089,Power Dynamos
1785,Prachuap FC
2325,Prestatyn Town FC
1602,Pretoria University
1973,Příbram
1862,Primorje
1781,Prison Leopards
2133,Progresso Associação do Sambizanga
1736,Progresso da Lunda Sul
2462,PS Kemi
1783,PSIS
1418,PSM Makassar
2294,PSMS
1912,PSPS Pekanbaru
1940,PSS Sleman
31,PSV Eindhoven
2534,PTT Rayong FC
2374,Puaikura
1415,Puerto Rico Islanders
2678,Puerto Rico United
335,Pumas UNAM
699,Pune FC
1855,Punjab Football Club
1863,Puntarenas FC
1186,Pusamania Borneo FC
526,Puskás FC
1026,Pwd Bamenda
325,Pyramids FC
781,Qäbälä
159,Qarabağ
1354,Qatar SC
2547,Qingdao FC
1568,Qingdao Jonoon
2192,Qizilqum Zarafshon
449,Queens Park Rangers
2523,Quelaton
593,Querétaro
917,Quilmes
1723,R.F.C. Seraing
1617,Rabotnički
2553,Racing Beirut
137,Racing Club
1140,Racing Club
1428,Racing Club d'Abidjan
2287,Racing de Casablanca
741,Racing Santander
2069,Rad Beograd
2131,Radnički 1923 Kragujevac
567,Radnički Niš
1869,Radnik Bijeljina
1094,Radomiak Radom
1903,Radomlje
1510,Rah Ahan
2588,Raja Beni Mellal
2088,Rajasthan United
2685,Rakvere JK Tarvas
1484,Ramonense PO
1443,Rampla Juniors
2176,Ranchers Bees
808,Randers FC
2080,Rangdajied United
32,Rangers
1036,Rangers
1646,Ranheim
731,Rapid Bucureşti
301,Rapid Wien
1649,Rapide Club Oued Zem
1361,Ratchaburi FC
235,Rayo Vallecano
21,RB Leipzig
1336,RC Arbaâ
1947,RC Bafoussam
2519,RC Kinshasa
2036,RC Relizane
86,RC Strasbourg
193,RCA Raja Casablanca Athletic
179,RCD Espanyol
516,Reading
29,Real Betis
1519,Real Cartagena
487,Real España
786,Real Estelí
1697,Real Juventud
1933,Real Kashmir FC
3,Real Madrid
2736,Real Madriz
2629,Real Mamoré
2612,Real Potosí
824,Real Salt Lake
1579,Real Santa Cruz
37,Real Sociedad
2500,Real Sociedad
2578,Real Tamale
1612,Real Tomayapo
274,Real Valladolid
371,Real Zaragoza
1025,Recreativo da Caála
752,Recreativo do Libolo
1035,Red Arrows
144,Red Bull Bragantino SP
30,Red Bull Salzburg
211,Reims
1303,Remo Stars
1360,Renaissance Club Zemamra
1584,Renaissance de Ngoumou
48,Rennes
2700,Reno FC
1740,Renova
1039,Rentistas
661,Resistencia Sport Club
2463,Revan Baku
2228,Rewa
1171,Rhyl
714,Riga FC
637,Rigas Futbola skola
251,Rijeka
1707,Río Abajo
464,Rio Ave
1553,Rising Stars
25,River Plate
539,River Plate
816,River Plate Ecuador
627,River Plate PR
2460,Rivoli United
1034,Rizespor
669,RKC Waalwijk
1722,RNK Split
2261,Roan United
995,Roda JC Kerkrade
1199,Roeselare
2425,Rojolu
27,Roma
1812,RoPS Rovaniemi
273,Rosario Central
342,Rosenborg BK
1322,Ross County
2323,Roumde Adjia
951,Royal AM
284,Royal Antwerp FC
1175,Royal Excel Mouscron Péruwelz
778,Royal Pari
1867,Royal Wahingdoh
604,RSB Berkane
176,RSC Anderlecht
369,Rubin Kazan
909,Rubio Ñú
1536,Ruch Chorzów
1770,Rudar Pljevlja
2573,Rudar Prijedor
2098,Rudar Velenje
838,Rukh Vynnyky
398,Ružomberok
1006,Saba Qom
1526,Sabah FK
2265,Sabana de Mopti
2122,Sabé
1504,Sable Batié
972,Saburtalo
1792,Sacachispas Chiquimula
597,Sagan Tosu
1505,Săgeata Năvodari
891,Sagrada Esperança
2582,Sahab SC
2038,Sahel
1426,Saïda
1956,Saint George
2217,Saint-Clément
500,Saint-Eloi Lupopo
498,Saint-Étienne
2342,Saint-Luc
1249,Saipa FC
2701,Salam Zgharta
814,Salgaocar
180,Sampdoria
844,Samsunspor
1962,Samut Prakan City
2610,Samut Songkram
1284,San Francisco FC
2557,San José
1334,San Jose Earthquakes
1901,San Juan FC
2502,San Juan Jabloteh
343,San Lorenzo de Almagro
1390,San Luis
1030,San Luis FC
1104,San Marcos
473,San Martín de Tucumán
387,San Martín San Juan
970,San Pedro
1670,San Simon
985,Sanat Naft Abadan
2596,Sandals South Coast
1745,Sandecja Nowy Sącz
1560,Sandefjord Football
2024,Sandnes
428,Sanfrecce Hiroshima
943,Sanga Balende
595,Santa Cruz
382,Santa Fe
2043,Santa Gema FC
918,Santa Lucia Cotzumalguapa
2451,Santa Rita de Cássia FC
1474,Santa Tecla FC
1062,Santiago Morning
1614,Santiago Wanderers
488,Santo André
1357,Santos
2236,Santos de Angola
960,Santos de Guápiles
117,Santos FC
250,Santos Laguna
70,São Paulo
2623,Sapovnela
2068,Saraburi FC
764,Sarmiento
882,Sarpsborg 08
72,Sassuolo
659,Saturn
2320,Saurimo FC
392,SC Bastia
1063,SC Chabab Mohammédia
334,SC Dnipro-1
730,SC Farense
538,SC Heerenveen
444,SC Paderborn 07
655,Schalke 04
2056,Scorpion FC de Bé
1679,SCR Altach
2464,SD Atletico Nacional
185,SD Huesca
244,Seattle Sounders FC
805,Seinaejoen JK
1456,sekhukhune united fc
1825,Sektzia Ness Ziona FC
1314,Semen Padang
1223,Seongnam FC
280,Sepahan
2005,Sepidrood Rasht SC
512,Sepsi OSK
789,Servette
1168,Sevastopol
24,Sevilla
794,Sevilla FC Puerto Rico
763,Séwé
2439,Səbail FK
1179,Sfîntul Gheorghe
2667,Shabab AL Ghazieh SC
1899,Shabab Al Sahel
2104,Shabab Al-Aqaba Club
1793,Shabab Al-Ordon Club
2234,Shabab El Bourj SC
1385,Shabanie Mine
1826,Shahin Bushehr FC
1381,Shahrdari Tabriz
42,Shakhtar Donetsk
1076,Shakhter Karagandy
125,Shakhtyor Soligorsk
129,Shamrock Rovers
462,Shandong Taishan F.C.
233,Shanghai Port F.C.
722,Shanghai Shenhua
2522,Shanghai Shenxin
668,Sharjah Cultural Club
1908,Shark XI
1009,Sharks
380,Sheffield United FC
1827,Shelbourne
1216,Shenzhen FC
1678,Shijiazhuang Ever Bright
1259,Shimizu S-Pulse
966,Shkupi Skopje
1491,Shonan Bellmare
1122,Shooting Stars
1807,Shooting Stars
2508,Shortan Guzor
2441,Siam Navy FC
2750,Siauliai
1752,Šibenik
1331,Sibir Novosibirsk
425,Siena
2432,Sigui
1095,Silkeborg
402,Sillamäe Kalev
971,Simba SC
1230,Simurq
548,Sint-Truiden
1965,Siófok
903,Sion
2001,Siquinalá FC
1048,Sirius
745,Široki Brijeg
2586,Sisaket FC
341,Sivasspor
1212,SK Austria Klagenfurt
2475,SK Babīte
1156,SK Brann
490,SK Sigma Olomouc
2574,SK Super Nova
1842,SKA-Khabarovsk
2213,Skalica
1650,Skenderbeu
1292,ŠKF Sereď
2092,SKN Sankt Pölten
1053,Śląsk Wrocław
1304,Slaven
39,Slavia Prague
702,Slavia Sofia
1151,Slavia-Mozyr
2418,Slavija Sarajevo
698,Sligo Rovers
2142,Sliven
1891,Sloboda Tuzla
1067,Sloboda Užice
162,Slovácko
118,Slovan Bratislava
551,Slovan Liberec
2504,Smederevo
2642,Smolevichy
472,Smouha SC
954,SO Armée
314,Sochaux
2096,Social Sol
2296,Socozaki
1417,Sofapaka
1687,Sogakope WAFA
1673,Sogdiyona Jizzax
1513,Sogndal
614,Sol de América
1984,SOL FC
1848,Sololá FC
2022,Solomon Warriors FC
1786,SønderjyskE
2495,Songkhla United FC
2764,South End
198,Southampton
2650,Southern United
1105,SPAL 2013
93,Sparta Prague
496,Sparta Rotterdam
228,Spartak Moskva
1007,Spartak Myjava
1239,Spartak Nal'chik
2071,Spartak Semey
390,Spartak Trnava
2341,Speranţa Crihana
1027,Sport Áncash
1041,Sport Boys
1557,Sport Boys Warnes
1147,Sport Colombia
569,Sport Huancayo
1225,Sport Loreto
2524,Sport Lubango e Benfica
277,Sport Recife
1624,Sport Rosario (Huaraz)
1400,Sportif de Chebba
20,Sporting
2528,Sporting Beirut
2457,Sporting Central Academy
447,Sporting Charleroi
2662,Sporting Clube de Benguela
1371,Sporting Clube de Goa
291,Sporting Cristal
2584,Sporting de Cabinda
399,Sporting Fingal
1001,Sporting Gagnoa
281,Sporting Gijón
878,Sporting Kansas City
1270,Sporting San José FC
1416,Sporting San Miguelito
2229,Sportist Svoge
2297,Sportive de Djerba
1204,Sportivo Ameliano
939,Sportivo Luqueño
1233,Sportivo San Lorenzo
1325,Sportivo Trinidense
2052,Sportul Studentesc
1801,Sreenidi Deccan
2059,Sriracha
1615,Sriwijaya FC
9,SSC Napoli
581,St Patrick's
1831,St. George
1374,St. Johnstone
1294,St. Mirren
563,St. Pauli
1358,Stabæk
1684,Stade d'Abidjan
1166,Stade Gabésien
312,Stade Malien Bamako
2546,Stade Malien Sikasso
876,Stade Renard de Melong
1172,Stade Tunisien
1132,Stal Kamianske
2272,Standard
833,Standard Liège
2394,Start
154,Steaua Bucureşti
1686,Steel Azin
1307,Stella Club
898,Stellenbosch FC
2174,Stjarnan
238,Stoke City
846,Strømsgodset
338,Sturm Graz
1463,Suchitepéquez
1113,Sud América
2319,Sudeva Delhi FC
375,Suduva Marijampole
1844,Sukhothai FC
1552,Sumqayıt
511,Sunderland
2127,Sunkar
866,Sunshine Stars
717,Supersport United
1662,Suphanburi FC
2486,Surkhon-2011
461,Sutjeska
2126,Suva
612,Suwon Bluewings
990,Suwon FC
1339,SV Ried
1623,SV Roeselare
2605,Svetkavitsa
258,Swansea City
697,Sydney FC
2403,Syrianska
2226,Szolnoki MÁV
1401,Szombathelyi Haladás
2503,T&TEC
1286,Tacuarembó
1085,Tacuary
2291,Tafea FC
2761,Talinna Kalev
104,Talleres de Cordoba
1850,Tallinna JK Legion
2154,Tamme Auto
1955,Tammeka
1328,Tampere United
2554,Tampines Rovers FC
2511,Tanta
1554,Taraba
1444,Taraz
1730,Târgu Mureş
2398,Tasman United
2704,Tatran Prešov
809,Tauro FC
1970,Tavriia
295,Team Wellington
914,Técnico Universitario
1902,Tefana
1342,Telephonaat Beni Suef
